latitude,longitude,estado,bioma,mes,temperatura_media,umidade_relativa,precipitacao_mm,velocidade_vento,dias_sem_chuva,focos_calor_7d,distancia_foco_km,ndvi,historico_incendios,risco_incendio
0.283557,-51.975312,RO,Pantanal,2,25.71,26.17,0.96,25.93,13,2,11.51,0.29,4,alto
-4.80794,-39.91141,GO,Caatinga,4,23.55,44.34,9.84,3.99,20,6,6.27,0.42,3,alto
-28.062228,-51.156424,SC,Cerrado,9,37.65,38.17,1.51,12.8,28,4,3.07,0.381,3,critico
-3.124185,-44.356687,MG,Cerrado,4,29.22,49.7,45.66,2.86,8,4,14.06,0.421,6,medio
-7.268208,-48.623862,BA,Pantanal,4,32.62,41.78,17.4,4.24,9,1,1.0,0.703,2,medio
-30.402578,-42.433366,MS,Caatinga,5,26.07,27.63,28.91,16.28,10,5,6.51,0.615,2,medio
-12.184182,-34.820657,RO,Amazônia,6,21.65,74.29,34.77,8.37,16,6,1.57,0.461,5,medio
-32.425794,-35.364401,MG,Mata Atlântica,5,30.25,43.63,30.66,21.22,15,0,40.22,0.95,1,medio
-5.011661,-38.563241,RO,Mata Atlântica,11,28.56,40.78,30.19,13.16,12,1,11.97,0.572,4,medio
-32.683842,-56.090271,SC,Mata Atlântica,10,31.9,32.83,19.68,17.09,32,10,48.5,0.58,3,alto
-15.56026,-44.423394,SC,Pantanal,11,35.46,64.1,2.12,3.8,21,5,50.71,0.509,3,alto
-17.3691,-38.924806,CE,Caatinga,5,34.17,54.61,17.3,15.02,20,6,4.72,0.05,1,alto
-26.902421,-70.250814,SP,Pampa,5,25.69,45.38,53.36,25.88,12,0,141.7,0.537,3,baixo
3.206971,-60.257041,PI,Cerrado,7,33.3,10.0,22.66,16.4,10,10,23.68,0.95,2,alto
-12.427955,-59.536032,GO,Caatinga,6,36.19,41.89,53.36,34.41,10,1,9.92,0.607,4,alto
-17.34914,-43.609809,SP,Mata Atlântica,10,28.53,23.14,6.33,19.39,5,4,23.56,0.903,3,alto
-0.422262,-46.743389,SP,Amazônia,1,30.75,63.53,25.74,24.96,15,5,4.05,0.604,3,alto
-30.455003,-38.783332,PA,Amazônia,2,30.39,31.79,98.61,12.64,16,6,9.23,0.822,6,alto
-18.816836,-48.352441,RJ,Mata Atlântica,1,27.42,52.74,13.88,0.0,4,2,4.64,0.635,4,medio
-16.539802,-42.802195,PE,Cerrado,3,29.97,68.43,35.5,25.96,16,8,11.73,0.193,10,alto
-1.696839,-70.537529,PR,Amazônia,4,29.46,83.32,35.95,9.87,5,2,10.73,0.662,10,medio
-29.415558,-43.827815,TO,Pampa,6,27.39,76.32,85.48,21.05,11,2,1.0,0.69,2,medio
-8.135004,-63.951291,BA,Amazônia,12,32.34,82.19,6.1,13.97,14,2,20.34,0.699,5,medio
-9.495972,-48.310167,BA,Pampa,7,17.52,18.99,5.45,20.53,26,7,23.48,0.727,4,alto
-6.204712,-55.248292,MT,Cerrado,8,37.87,39.38,1.49,21.77,26,11,1.07,0.486,13,critico
-24.783374,-46.042739,AM,Pampa,4,31.5,84.52,70.66,17.74,13,1,9.74,0.636,1,medio
-22.794638,-69.061854,RJ,Cerrado,2,27.32,53.05,90.37,10.1,13,2,5.93,0.707,5,medio
-0.142961,-66.957913,MT,Amazônia,6,26.87,61.46,16.75,16.47,13,2,13.38,0.95,2,medio
-15.579606,-44.724763,RO,Cerrado,2,35.93,69.58,37.52,12.77,20,6,39.29,0.666,7,medio
-13.614362,-44.286647,PI,Pampa,5,27.59,62.61,12.89,7.97,6,0,134.02,0.753,3,baixo
3.857208,-50.720842,SC,Cerrado,6,29.28,37.69,39.95,18.21,4,2,4.92,0.556,3,medio
-4.489901,-67.070106,CE,Amazônia,4,18.65,66.85,8.26,7.51,7,3,28.59,0.46,2,medio
-17.881103,-40.725431,TO,Pampa,2,20.87,44.24,17.86,19.07,14,0,43.84,0.95,3,baixo
-20.231732,-54.838381,MG,Caatinga,9,33.05,30.41,1.68,30.3,38,7,38.83,0.371,3,critico
-31.856053,-35.501799,MG,Cerrado,8,35.98,33.82,2.47,17.65,24,8,66.13,0.41,6,critico
-12.44189,-34.591016,RO,Cerrado,8,31.98,41.19,1.77,7.96,34,4,47.03,0.096,3,alto
-7.786103,-56.963298,RS,Cerrado,9,36.61,26.7,18.07,8.4,34,7,11.24,0.272,9,critico
-28.569843,-51.678868,PR,Mata Atlântica,8,29.89,48.01,10.56,7.7,8,6,5.86,0.463,1,medio
-30.445101,-49.800952,PI,Mata Atlântica,5,28.69,95.0,2.72,1.05,12,3,69.95,0.592,1,medio
-24.392178,-49.055158,MA,Mata Atlântica,6,28.94,37.24,11.13,14.25,14,0,79.88,0.819,3,medio
-11.503849,-65.875777,PE,Cerrado,6,30.29,36.67,35.87,13.86,14,3,21.24,0.358,6,alto
-30.081484,-59.168018,BA,Amazônia,3,18.26,88.5,58.6,27.77,7,3,6.79,0.516,4,medio
-11.83246,-63.976155,PI,Cerrado,2,37.53,56.79,79.32,16.8,15,5,26.3,0.6,7,medio
-23.518883,-51.648612,GO,Cerrado,2,32.48,45.38,6.06,14.24,9,6,6.18,0.536,3,alto
-16.622612,-61.124791,MA,Mata Atlântica,1,26.21,77.19,17.17,12.59,1,2,9.99,0.362,1,medio
-30.081317,-63.835223,PR,Amazônia,2,22.69,61.95,21.6,0.0,1,0,104.16,0.817,3,baixo
-10.642616,-57.490308,BA,Cerrado,10,33.86,31.69,2.58,21.77,37,7,34.0,0.05,5,critico
-5.353889,-54.108744,PI,Pantanal,5,32.29,84.95,6.09,8.31,7,2,35.13,0.809,7,medio
-21.147348,-68.237651,MT,Pantanal,4,31.7,37.45,52.01,18.74,17,1,91.62,0.95,0,medio
4.136637,-42.041094,RO,Mata Atlântica,4,30.57,91.27,50.27,1.52,1,2,20.7,0.208,0,medio
-11.864754,-42.598849,BA,Cerrado,11,30.96,44.15,7.29,20.47,10,3,21.02,0.521,3,alto
-15.317197,-72.466386,RJ,Cerrado,9,33.59,21.77,0.23,10.63,35,11,13.87,0.221,6,critico
-9.991712,-60.992431,MT,Caatinga,4,30.31,72.45,21.76,8.58,15,1,23.08,0.401,2,medio
-15.494546,-53.540126,RS,Amazônia,9,33.73,41.58,31.11,5.78,31,12,2.97,0.552,6,alto
-14.894472,-60.58614,MG,Caatinga,10,36.99,26.19,7.18,8.69,22,11,32.6,0.417,2,alto
-24.163429,-64.184705,RS,Mata Atlântica,6,31.96,95.0,8.29,22.37,10,3,1.38,0.444,0,alto
-13.117904,-62.400326,RO,Pantanal,6,37.22,25.81,26.46,8.58,3,7,7.59,0.826,1,medio
-7.308009,-61.01768,MT,Cerrado,1,33.03,13.6,39.02,13.87,18,2,13.84,0.782,3,alto
-16.20273,-47.718895,GO,Cerrado,5,29.23,62.55,77.29,0.63,15,1,9.94,0.804,2,medio
-29.253419,-68.457364,TO,Mata Atlântica,9,27.58,23.61,6.04,21.89,15,4,18.11,0.545,6,alto
-3.228157,-62.194299,RJ,Mata Atlântica,4,29.24,48.98,1.03,18.19,4,1,41.41,0.441,2,medio
-28.574561,-68.043247,RJ,Mata Atlântica,5,26.29,40.31,34.87,11.59,0,1,6.14,0.665,1,baixo
-15.287581,-55.629925,RJ,Pantanal,6,29.27,57.09,13.41,18.99,23,5,3.09,0.681,7,alto
-25.621811,-54.497039,MG,Cerrado,7,37.9,61.91,41.74,0.0,13,10,23.47,0.644,6,alto
-10.974474,-72.133479,RS,Cerrado,4,29.39,62.48,82.53,16.11,6,2,8.07,0.385,5,medio
-14.384922,-48.40202,PR,Pampa,12,26.28,85.11,0.42,22.51,17,2,4.0,0.268,6,alto
-26.968003,-35.978349,SC,Caatinga,8,39.24,10.0,5.29,5.56,28,10,16.89,0.453,1,critico
-6.4251,-60.108121,TO,Caatinga,4,27.65,76.49,5.45,19.71,13,1,4.04,0.474,3,medio
-28.113334,-50.619827,BA,Mata Atlântica,8,27.44,57.3,1.07,14.69,7,2,44.27,0.33,5,medio
-18.380162,-55.996188,SC,Amazônia,7,37.41,67.34,7.31,15.57,13,4,20.96,0.21,4,alto
-2.306723,-38.449354,MS,Cerrado,4,24.81,65.48,3.57,11.86,2,2,14.36,0.103,6,medio
-3.897372,-46.02543,PR,Cerrado,5,30.51,59.39,3.5,15.18,4,4,10.39,0.192,9,alto
-30.62761,-54.039227,TO,Amazônia,1,25.83,65.19,33.05,17.5,9,2,38.39,0.653,3,baixo
-0.266114,-67.645299,RJ,Amazônia,11,26.48,81.16,37.93,20.05,7,2,20.82,0.686,8,medio
-12.141434,-65.621364,AM,Pantanal,10,34.74,48.48,7.42,10.26,9,9,65.1,0.498,6,alto
-12.318221,-34.944626,RJ,Caatinga,4,22.76,31.32,10.54,40.94,7,3,21.76,0.912,3,medio
-27.780254,-62.202071,SC,Pantanal,1,33.66,69.72,9.33,3.73,6,0,140.65,0.506,3,medio
-6.188617,-60.99959,CE,Caatinga,1,29.82,55.08,34.07,21.1,3,2,12.04,0.337,5,medio
-2.293423,-60.491744,RJ,Cerrado,3,24.18,56.12,38.14,17.04,5,3,1.0,0.16,5,medio
4.144858,-41.49324,MG,Cerrado,6,31.18,74.13,45.81,7.64,20,4,48.03,0.444,4,medio
-27.717916,-55.837228,SP,Cerrado,5,24.88,46.49,3.07,15.7,3,6,11.86,0.806,3,medio
-17.286372,-71.447354,GO,Caatinga,6,30.02,62.44,1.1,18.23,16,6,3.16,0.225,3,alto
-8.845478,-59.117647,SP,Mata Atlântica,4,28.19,44.65,42.1,18.68,16,7,12.75,0.567,3,medio
-9.827115,-63.608651,SP,Pantanal,9,30.74,27.95,1.27,14.94,28,6,52.09,0.324,8,critico
1.826588,-60.21431,CE,Caatinga,4,34.81,40.72,10.34,13.08,23,7,8.67,0.168,5,alto
2.757708,-48.694795,MG,Pampa,4,28.99,71.94,46.61,28.35,0,1,8.83,0.41,3,medio
-31.979029,-58.161206,PR,Cerrado,10,33.59,14.71,4.03,15.34,9,6,8.86,0.454,10,critico
-28.463522,-60.214129,PR,Amazônia,4,28.52,92.24,29.19,18.66,6,1,22.81,0.511,6,medio
-4.575389,-40.375295,GO,Amazônia,5,28.64,72.78,52.48,25.51,13,3,1.18,0.604,6,medio
-10.514755,-65.511089,RJ,Amazônia,10,35.46,68.19,17.97,18.32,13,8,1.45,0.295,8,critico
-30.601958,-60.340242,GO,Mata Atlântica,2,22.26,82.11,4.95,0.0,6,0,51.68,0.333,1,baixo
-30.646032,-50.504491,PR,Pantanal,10,37.89,23.86,2.43,28.48,7,5,67.79,0.599,7,alto
-17.072825,-68.581315,SC,Cerrado,8,33.48,11.8,1.44,7.36,27,12,39.42,0.33,5,critico
-25.705693,-44.949858,RS,Pantanal,5,26.62,32.02,46.6,6.65,12,6,11.7,0.648,9,alto
-18.478949,-61.229435,RO,Amazônia,12,27.03,59.42,36.61,6.21,2,4,53.02,0.836,5,baixo
1.903821,-71.167292,RO,Cerrado,4,25.28,20.96,6.83,17.35,5,5,6.9,0.767,3,alto
-0.108294,-50.488573,PE,Cerrado,11,34.17,44.81,2.02,23.56,8,0,80.51,0.593,10,medio
-29.837523,-39.344575,MT,Caatinga,1,27.57,54.41,19.95,10.65,9,5,14.4,0.653,2,medio
-19.964985,-34.463161,MT,Cerrado,2,23.45,52.5,55.44,7.22,16,2,29.79,0.715,6,medio
0.945571,-56.119243,CE,Amazônia,8,24.17,89.02,24.65,20.43,10,3,44.23,0.492,8,medio
-30.571764,-70.10095,PA,Amazônia,6,34.29,66.67,33.36,19.71,12,5,15.28,0.61,8,alto
-28.089496,-70.748098,PA,Amazônia,6,24.93,72.13,25.98,25.29,9,2,11.31,0.47,5,medio
-23.087729,-72.645606,PE,Caatinga,10,32.9,56.68,4.72,16.68,20,11,8.56,0.05,3,alto
-27.719178,-43.855395,GO,Amazônia,8,31.34,71.09,36.76,21.23,19,7,36.86,0.326,6,alto
-9.431076,-51.752758,MG,Amazônia,1,25.47,63.72,26.27,15.04,5,3,11.75,0.536,3,baixo
-8.509568,-65.868283,PA,Amazônia,11,29.58,50.69,135.43,23.37,12,3,25.97,0.717,10,medio
-13.305371,-44.833572,MG,Cerrado,5,28.89,34.19,31.33,18.25,8,2,11.82,0.466,4,medio
1.190237,-48.492129,PR,Caatinga,2,27.81,51.28,17.31,20.73,22,4,11.31,0.361,1,alto
-13.080542,-46.989519,GO,Amazônia,12,28.67,71.5,31.82,11.75,6,5,26.63,0.469,8,medio
-30.151518,-64.302617,BA,Amazônia,10,24.04,36.48,18.1,7.97,8,7,12.3,0.586,8,alto
4.279705,-47.189382,RS,Pampa,1,28.12,73.65,30.06,25.3,11,0,41.31,0.362,4,medio
-13.960471,-50.662339,RJ,Mata Atlântica,6,24.06,29.68,27.84,19.42,5,0,132.81,0.702,3,baixo
-25.847176,-65.814303,RO,Mata Atlântica,4,27.5,51.99,45.87,7.1,15,0,149.82,0.592,5,baixo
0.938322,-46.112732,PA,Caatinga,5,34.51,29.81,9.13,0.0,9,4,21.6,0.509,4,medio
-26.672865,-45.223412,SP,Amazônia,9,28.86,38.68,10.75,9.61,30,10,82.62,0.297,5,alto
2.9974,-64.980762,PE,Pantanal,5,23.27,60.5,19.72,10.29,6,1,2.21,0.412,4,medio
-12.290673,-69.615465,PI,Amazônia,5,24.48,64.47,21.87,23.27,17,2,44.32,0.844,7,medio
-27.99134,-38.405333,SP,Pampa,7,25.24,27.71,15.56,6.68,22,9,6.24,0.762,4,alto
-29.368754,-37.972289,MT,Mata Atlântica,9,30.33,40.65,0.38,13.05,14,7,31.71,0.443,3,alto
-25.257292,-62.834195,CE,Cerrado,3,28.45,42.34,13.57,25.1,6,3,1.31,0.653,6,alto
-1.989843,-56.149376,PI,Amazônia,9,32.69,68.49,27.39,12.59,21,10,8.41,0.542,11,alto
-5.17567,-63.91226,AM,Amazônia,5,28.43,91.59,12.3,29.7,4,1,15.58,0.845,5,medio
-14.753026,-54.050461,SC,Caatinga,1,31.26,53.12,40.34,3.86,5,3,60.84,0.496,2,baixo
-9.327746,-55.571906,TO,Amazônia,9,28.23,61.16,25.11,12.41,6,9,72.12,0.515,2,medio
-18.203188,-44.428105,MS,Cerrado,8,27.98,40.25,2.18,14.34,26,4,3.48,0.325,10,critico
-3.670231,-54.128787,RO,Amazônia,7,32.96,60.35,9.75,0.0,26,8,1.02,0.647,7,alto
